Gold,Silver,Bronze,Gold_Ratio,Silver_Ratio,Bronze_Ratio,Country,Cluster,Cluster_Description,DBSCAN_Cluster,Agglo_Cluster
-0.381454342857606,-0.4519903958965935,-0.4801373858148148,0.8608312658910866,-1.3762106627481911,0.4535432569788774,Ivory Coast,0,Low Medal Count,2,0
-0.381454342857606,-0.4363182833129418,-0.4965972378449361,0.8608312658910866,0.8003337977694517,-1.5098318196360978,Vietnam,0,Low Medal Count,-1,0
-0.381454342857606,-0.4519903958965935,-0.4801373858148148,0.8608312658910866,-1.3762106627481911,0.4535432569788774,Bahamas,0,Low Medal Count,2,0
-0.381454342857606,-0.4363182833129418,-0.4965972378449361,0.8608312658910866,0.8003337977694517,-1.5098318196360978,Bahrain,0,Low Medal Count,-1,0
-0.381454342857606,-0.4519903958965935,-0.4801373858148148,0.8608312658910866,-1.3762106627481911,0.4535432569788774,Independent Olympic Athletes,0,Low Medal Count,2,0
-0.3945646566523464,-0.4519903958965935,-0.4636775337846935,-1.2843303317982286,-1.3762106627481911,2.4169183335938524,Israel,0,Low Medal Count,1,2
-0.3945646566523464,-0.4363182833129418,-0.4801373858148148,-1.2843303317982286,0.8003337977694517,0.4535432569788774,India,0,Low Medal Count,0,0
-0.3945646566523464,-0.4363182833129418,-0.4801373858148148,-1.2843303317982286,0.8003337977694517,0.4535432569788774,Mongolia,0,Low Medal Count,0,0
-0.381454342857606,-0.4519903958965935,-0.4965972378449361,3.005992863580402,-1.3762106627481911,-1.5098318196360978,Jordan,1,Average Medal Count,3,0
-0.3945646566523464,-0.4363182833129418,-0.4965972378449361,-1.2843303317982286,2.9768782582870945,-1.5098318196360978,Burundi,0,Low Medal Count,4,0
-0.3945646566523464,-0.4519903958965935,-0.4801373858148148,-1.2843303317982286,-1.3762106627481911,2.4169183335938524,Morocco,0,Low Medal Count,1,2
-0.3945646566523464,-0.4363182833129418,-0.4965972378449361,-1.2843303317982286,2.9768782582870945,-1.5098318196360978,Philippines,0,Low Medal Count,4,0
-0.3945646566523464,-0.4519903958965935,-0.4801373858148148,-1.2843303317982286,-1.3762106627481911,2.4169183335938524,Portugal,0,Low Medal Count,1,2
-0.381454342857606,-0.4519903958965935,-0.4965972378449361,3.005992863580402,-1.3762106627481911,-1.5098318196360978,Puerto Rico,1,Average Medal Count,3,0
-0.3945646566523464,-0.4519903958965935,-0.4801373858148148,-1.2843303317982286,-1.3762106627481911,2.4169183335938524,United Arab Emirates,0,Low Medal Count,1,2
-0.3945646566523464,-0.4363182833129418,-0.4965972378449361,-1.2843303317982286,2.9768782582870945,-1.5098318196360978,Qatar,0,Low Medal Count,4,0
-0.3945646566523464,-0.4519903958965935,-0.4801373858148148,-1.2843303317982286,-1.3762106627481911,2.4169183335938524,Moldova,0,Low Medal Count,1,2
-0.381454342857606,-0.4519903958965935,-0.4965972378449361,3.005992863580402,-1.3762106627481911,-1.5098318196360978,Kosovo,1,Average Medal Count,3,0
-0.3945646566523464,-0.4519903958965935,-0.4801373858148148,-1.2843303317982286,-1.3762106627481911,2.4169183335938524,Trinidad and Tobago,0,Low Medal Count,1,2
-0.3945646566523464,-0.4519903958965935,-0.4801373858148148,-1.2843303317982286,-1.3762106627481911,2.4169183335938524,Dominican Republic,0,Low Medal Count,1,2
-0.381454342857606,-0.4519903958965935,-0.4965972378449361,3.005992863580402,-1.3762106627481911,-1.5098318196360978,Tajikistan,1,Average Medal Count,3,0
-0.381454342857606,-0.4519903958965935,-0.4965972378449361,3.005992863580402,-1.3762106627481911,-1.5098318196360978,Fiji,1,Average Medal Count,3,0
-0.3945646566523464,-0.4363182833129418,-0.4965972378449361,-1.2843303317982286,2.9768782582870945,-1.5098318196360978,Grenada,0,Low Medal Count,4,0
-0.381454342857606,-0.4519903958965935,-0.4965972378449361,3.005992863580402,-1.3762106627481911,-1.5098318196360978,Singapore,1,Average Medal Count,3,0
-0.3945646566523464,-0.4363182833129418,-0.4965972378449361,-1.2843303317982286,2.9768782582870945,-1.5098318196360978,Niger,0,Low Medal Count,4,0
-0.3945646566523464,-0.4519903958965935,-0.4801373858148148,-1.2843303317982286,-1.3762106627481911,2.4169183335938524,Nigeria,0,Low Medal Count,1,2
